Kemi	Oulu	Raahe	Pietarsaari	Vaasa	Kaskinen	Mantyluoto	Rauma	Turku	Foglo	Hanko	Helsinki	Porvoo	Hamina
y_1931	689	664	688	702	694	667	602	545	445	428	357	331	323	305
y_1932	681	657	680	694	686	659	595	539	440	424	354	328	321	303
y_1933	674	650	673	685	678	652	589	533	436	419	351	326	318	300
y_1934	667	643	665	677	670	644	582	527	431	415	348	323	316	298
y_1935	660	636	657	669	662	637	576	522	427	410	345	321	314	296
y_1936	652	628	649	661	654	630	570	516	423	405	341	318	311	294
y_1937	645	621	641	653	646	622	563	510	418	401	338	316	309	292
y_1938	638	614	634	644	638	615	557	504	414	396	335	313	306	289
y_1939	630	607	626	636	630	607	550	498	409	392	332	311	304	287
y_1940	623	600	618	628	622	600	544	492	405	387	329	308	302	285
y_1941	616	593	610	620	614	593	538	486	401	382	326	306	299	283
y_1942	608	586	602	612	606	585	531	480	396	378	323	303	297	281
y_1943	601	579	595	603	598	578	525	474	392	373	320	301	294	278
y_1944	594	572	587	595	590	570	518	468	387	369	317	298	292	276
y_1945	587	565	579	587	582	563	512	463	383	364	314	296	289	274
y_1946	579	557	571	579	574	556	506	457	379	359	310	293	287	272
y_1947	572	550	563	571	566	548	499	451	374	355	307	291	285	270
y_1948	565	543	556	562	558	541	493	445	370	350	304	288	282	267
y_1949	557	536	548	554	550	533	486	439	365	346	301	286	280	265
y_1950	550	529	540	546	542	526	480	433	361	341	298	283	277	263
y_1951	543	522	532	538	534	519	474	427	357	336	295	281	275	261
y_1952	535	515	524	530	526	511	467	421	352	332	292	278	273	259
y_1953	528	508	517	521	518	504	461	415	348	327	289	276	270	256
y_1954	521	501	509	513	510	496	454	409	343	323	286	273	268	254
y_1955	514	494	501	505	502	489	448	404	339	318	283	271	265	252
y_1956	506	486	493	497	494	482	442	398	335	313	279	268	263	250
y_1957	499	479	485	489	486	474	435	392	330	309	276	266	261	248
y_1958	492	472	478	480	478	467	429	386	326	304	273	263	258	245
y_1959	484	465	470	472	470	459	422	380	321	300	270	261	256	243
y_1960	477	458	462	464	462	452	416	374	317	295	267	258	253	241
y_1961	470	451	454	456	454	445	410	368	313	290	264	256	251	239
y_1962	462	444	446	448	446	437	403	362	308	286	261	253	248	237
y_1963	455	437	439	439	438	430	397	356	304	281	258	251	246	234
y_1964	448	430	431	431	430	422	390	350	299	277	255	248	244	232
y_1965	441	423	423	423	422	415	384	345	295	272	252	246	241	230
y_1966	433	415	415	415	414	408	378	339	291	267	248	243	239	228
y_1967	426	408	407	407	406	400	371	333	286	263	245	241	236	226
y_1968	419	401	400	398	398	393	365	327	282	258	242	238	234	223
y_1969	411	394	392	390	390	385	358	321	277	254	239	236	232	221
y_1970	404	387	384	382	382	378	352	315	273	249	236	233	229	219
y_1971	397	380	376	374	374	371	346	309	269	244	233	231	227	217
y_1972	389	373	368	366	366	363	339	303	264	240	230	228	224	215
y_1973	382	366	361	357	358	356	333	297	260	235	227	226	222	212
y_1974	375	359	353	349	350	348	326	291	255	231	224	223	220	210
y_1975	368	352	345	341	342	341	320	286	251	226	221	221	217	208
y_1976	360	344	337	333	334	334	314	280	247	221	217	218	215	206
y_1977	353	337	329	325	326	326	307	274	242	217	214	216	212	204
y_1978	346	330	322	316	318	319	301	268	238	212	211	213	210	201
y_1979	338	323	314	308	310	311	294	262	233	208	208	211	208	199
y_1980	331	316	306	300	302	304	288	256	229	203	205	208	205	197
y_1981	324	309	298	292	294	297	282	250	225	198	202	206	203	195
y_1982	316	302	290	284	286	289	275	244	220	194	199	203	200	193
